OSC	FBtc9000003
Sg4	FBtc0000179
E-r<up>1</up>	FBtc0000015
ML-DmBG8	FBtc0000077
S2-GFP-SKL	FBtc0000197
D1	FBtc0000010
ML-DmD16-c9	FBtc0000103
S1	FBtc0000009
CME-L2	FBtc0000157
ML-DmBG2	FBtc0000051
Kc167-PP-93E	FBtc0000227
Kc-H	FBtc9000004
S2-Mt-EB1-GFP	FBtc0000171
ML-DmD1-c3	FBtc0000081
S2-Mt-Fog-myc	FBtc0000218
Kc167-PP-21D	FBtc0000221
S2R+-Ubi-pHMA	FBtc0000217
MCW23	FBtc0000161
WR-Di-1	FBtc0000207
WR-Dv-1	FBtc0000040
S2R+-FUCCI	FBtc0000243
E-Adh-n1	FBtc0000012
DH-33	FBtc0000023
ML-DmD20-c5	FBtc0000112
ML-DmBG3-c1	FBtc0000067
ML-DmD25-c2	FBtc0000119
ML-DmD17	FBtc0000184
ML-DmD4-c1	FBtc0000126
Jup-GFP-DSas-4-line-70	FBtc0000212
S2-Invitrogen	FBtc9000008
ML-DmD16-c4	FBtc0000098
GM2	FBtc0000039
S2-Mt-N	FBtc0000154
S2-Mt-mCherry-alphaTub84B+Mt-GFP-Orbit	FBtc0000195
G2	FBtc0000004
ML-DmD11	FBtc0000094
ML-DmD9	FBtc0000085
rumi<up>26</up>-Ras<up>V12</up>-4	FBtc0000198
ML-DmBG2-c6	FBtc0000003
ML-DmBG2-c12	FBtc0000064
ML-DmD11-c2	FBtc0000209
ML-DmBG2-c1	FBtc0000052
ML83-33	FBtc0000035
ML-DmD1-c5	FBtc0000122
PR9	FBtc0000205
ML81-18	FBtc0000025
S2-unspecified	FBtc9000001
Jup-GFP-DSas-4-line-127	FBtc0000215
Ras<up>V12</up>-H1	FBtc0000251
ML-DmD1-c8	FBtc0000084
ML84-29	FBtc0000044
ML-DmBG2-c3	FBtc0000054
Pten-1A	FBtc0000203
ML-DmBG3-c3	FBtc0000069
DM	FBtc0000173
S2U	FBtc9000006
ML-DmD1-c7	FBtc0000083
Ras<up>V12</up>-line-7	FBtc0000188
Kc167-PP-50Aa	FBtc0000222
ML85-5	FBtc0000032
Schneider's-line-2	FBtc0000999
ML83-68	FBtc0000034
ML83-61	FBtc0000046
S2-Mt-Dl	FBtc0000152
ML-DmD16-c1	FBtc0000096
fGS/OSS	FBtc0000191
ML-DmD21	FBtc0000086
ML-DmD16-c8	FBtc0000102
Kc167-PP-93E-Mt-mCherry	FBtc0000245
ML-DmD11-c3	FBtc0000210
Sg4-PP-70F	FBtc0000242
S2R+	FBtc0000150
Kc167-IPPI-66D-Mt-mCherry	FBtc0000244
Kc167-Mt-mCherry-c1	FBtc0000246
ML83-26	FBtc0000038
S2R+-NPT005	FBtc0000229
Jup-GFP-DSas-4-line-69	FBtc0000211
ML83-1b	FBtc0000031
CME-W2	FBtc0000155
Kc167-IPPI-66D	FBtc0000233
ML-DmD17-c3	FBtc0000107
Kc167-Mt-mCherry-c2	FBtc0000247
Ras<up>V12</up>-H7	FBtc0000199
MCW12	FBtc0000160
Kc167-PP-99A	FBtc0000228
ML-DmBG3	FBtc0000066
ML-DmD16-c7	FBtc0000101
ML-DmD20-c4	FBtc0000111
ML-DmD1-c4	FBtc0000082
ML-DmBG1	FBtc0000049
E-r<up>36</up>	FBtc0000018
S2-SQH-GFP+Mt-mCherry-actin	FBtc0000193
ML84-1	FBtc0000042
S2-SQH-GFP	FBtc0000172
ML-DmBG2-c2	FBtc0000053
ML-DmD16-c5	FBtc0000099
S2-Mt-Msps-GFP	FBtc0000206
ML-DmD16	FBtc0000183
L127D6	FBtc0000163
DeltaWTNdeMYC	FBtc0000153
S2R+-NPT050	FBtc0000231
Sg4-PP-57B	FBtc0000241
CME-L1	FBtc0000156
E-mal<up>F3</up>	FBtc0000017
mbn2	FBtc0000147
S2-DRSC	FBtc0000181
S2-Mt-GFP	FBtc0000194
S2R+-NPT017	FBtc0000230
Kc167-PP-61C	FBtc0000225
D	FBtc0000013
W20C6	FBtc0000159
Jup-GFP-DSas-4-line-84	FBtc0000213
Kc167-PP-21B	FBtc0000220
ML-DmD32	FBtc0000145
Kc-unspecified	FBtc9000002
S2	FBtc0000006
1182-4H	FBtc0000177
ML-DmBG2-c11	FBtc0000063
ML-DmD14	FBtc0000095
ML-DmBG2-c8	FBtc0000060
EH34A3	FBtc0000007
ML84-27b	FBtc0000045
ML-DmBG2-c10	FBtc0000062
ML-DmD16-c6	FBtc0000100
S2-Mt-GFP-Act5C	FBtc0000169
E-FM1	FBtc0000020
S2-B2	FBtc9000005
CME-L1A	FBtc0000158
Ras<up>V12</up>-H3	FBtc0000200
529SU	FBtc9000010
Kc167	FBtc0000001
ML-DmD23	FBtc0000121
ML-DmD23-c1	FBtc0000087
Kc167-PP-52E	FBtc0000224
G1	FBtc0000016
S2-Mt-Slit	FBtc0000192
ML-DmD20	FBtc0000185
ML-DmBG1-c1	FBtc0000050
ML-DmD20-c1	FBtc0000108
S2-act-GFP-alphaTub84B	FBtc0000170
GM3	FBtc0000011
Sg4-PP-84E	FBtc0000240
CME-W1	FBtc0000180
ML-DmD23-c3	FBtc0000088
S2-ATCC	FBtc9000009
E-mal<up>1</up>	FBtc0000024
ML83-63	FBtc0000033
ML-DmD23-c4	FBtc0000089
Jup-GFP-DSas-4-line-96	FBtc0000214
PR8	FBtc0000204
S2c1	FBtc9000007
ML-DmBG3-c2	FBtc0000068
Pten-1	FBtc0000202
CCa	FBtc0000175
S2-Mt-GFP-alphaTub84B	FBtc0000168
Ras-attP-L1	FBtc0000249
Ras-attP-L2	FBtc0000250
ML-DmD16-c3	FBtc0000097
Kc7E10	FBtc0000182
ML-DmD25	FBtc0000187
E-CS	FBtc0000022
ML-DmD20-c2	FBtc0000109
E-E12<up>ts</up>-mal<up>1</up>	FBtc0000014
Kc167-PP-16F	FBtc0000219
Jupiter	FBtc0000178
ML-DmBG2-c5	FBtc0000056
Sg4-PP-49B	FBtc0000239
ML-DmD23-c5	FBtc0000117
Kc167-PP-50Ab	FBtc0000223
ML-DmD8	FBtc0000092
ML89-1	FBtc0000030
S2R+-SQH-GFP	FBtc0000196
ML83-62	FBtc0000041
Kc	FBtc0000998
ML82-19a	FBtc0000027
ML-DmBG2-c4	FBtc0000055
ML-DmD1	FBtc0000079
L57-3-11	FBtc0000002
DX	FBtc0000176
Pten-X	FBtc0000201
E-OR	FBtc0000021
OSS	FBtc0000190
Kc167-Mt-mCherry-c3	FBtc0000248
Kc167-PP-89B	FBtc0000226
ML-DmD31	FBtc0000144
S3	FBtc0000005
MDR3	FBtc0000008
Jup-GFP-DSas-4-line-131	FBtc0000216
Sg4-PP-27F	FBtc0000238
ML-DmD23-c2	FBtc0000116
ML-DmD23-c6	FBtc0000118
CME-W1-Cl.8R	FBtc0000162
Ras<up>V12</up>-H4	FBtc0000252
Sg4-PP-3A	FBtc0000237
S2-Tub-wg	FBtc0000165
CME-W1-Cl.8+	FBtc0000151
ML-DmD11-c1	FBtc0000208
ML-DmD4	FBtc0000186
ML-DmBG3-c2-Mt-GFP-Act5C	FBtc0000174
S2R+-NPT101	FBtc0000232
Ras<up>V12</up>-wts<up>RNAi</up>	FBtc0000189
